Storage_Modulus_Rt (MPa),loss_Modulus_Rt (MPa),Tensile_Modulus (MPa),Stress_at_Break (MPa),Tear_strength(kN/m),Density_(kg/m³),Shore_A,Abrasion_Resistance(mm³)
63.130,6.980,180.000,50.000,130.000,1220.000,90.580,30.000
4.020,0.470,12.340,45.000,40.000,1170.000,70.000,50.000
6.810,0.430,15.330,50.000,60.000,1180.000,80.000,30.000
21.250,1.950,61.730,55.000,90.000,1210.000,91.000,30.000
5.860,0.460,17.480,50.000,45.000,1180.000,75.000,50.000
125.050,17.960,330.000,50.000,180.000,1230.000,73.630,30.000
9.180,0.550,20.000,50.000,70.000,1190.000,87.000,30.000
51.540,6.600,75.980,55.000,100.000,1220.000,96.000,30.000
6.270,0.350,15.000,45.000,55.000,1110.000,80.000,30.000
80.540,12.060,200.000,45.000,150.000,1250.000,94.000,30.000
10.820,0.720,26.880,45.000,60.000,1120.000,87.000,30.000
133.720,20.220,320.000,55.000,180.000,1240.000,84.950,25.000
88.180,12.340,220.000,50.000,160.000,1230.000,86.610,30.000
23.770,3.460,77.720,50.000,100.000,1250.000,94.000,35.000
29.890,3.610,60.000,55.000,100.000,1150.000,96.000,30.000
12.380,0.900,2.470,50.000,75.000,1190.000,88.000,30.000
76.300,14.950,222.210,50.000,150.000,1260.000,95.220,30.000
106.050,16.950,200.000,50.000,170.000,1180.000,81.460,25.000
16.950,1.340,41.600,45.000,55.000,1150.000,87.000,40.000
26.070,3.120,63.060,50.000,120.000,1220.000,94.000,45.000
16.580,1.240,38.320,35.000,35.000,1230.000,89.000,35.000
40.340,4.850,140.000,55.000,120.000,1210.000,96.000,30.000
4.690,0.200,11.410,40.000,40.000,1140.000,75.000,45.000
64.630,9.390,140.000,55.000,130.000,1220.000,94.630,30.000
26.760,2.830,80.000,55.000,95.000,1200.000,93.000,30.000
7.720,0.480,15.000,50.000,65.000,1190.000,82.000,25.000
10.990,0.850,29.030,50.000,70.000,1230.000,85.000,35.000
9.080,0.480,23.680,55.000,75.000,1200.000,83.000,30.000
3.290,0.500,10.360,40.000,40.000,1190.000,65.000,60.000
97.730,15.130,160.000,30.000,110.000,1270.000,91.690,40.000
